Year,CreditScore,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,Geography_Germany,Geography_Spain,Balance_to_Salary_ratio,Product_Density_Indicator,Engagement_product_indicator,Age_tenure_interaction,Churn_Probability,Risk Level
2025,-0.3262214220367463,0,0.2935174228967471,2,-1.2258476714090278,1,1,1,0.021886493995386117,1,False,False,-0.03580390433705983,0.023809523809523808,4,84,0.05882461967732883,Low Risk
2025,-0.4400359548576657,0,0.1981638321954454,1,0.11735002143511059,1,0,1,0.21653375188734025,0,False,True,-0.0289298691015174,0.024390243902439025,3,41,0.0962027550836523,Low Risk
2025,-1.536794180222889,0,0.2935174228967471,8,1.3330533457228904,3,1,0,0.24068690006348814,1,False,False,-0.022867961475416382,0.07142857142857142,7,336,0.9153245742600314,High Risk
2025,0.5015206348426676,0,0.0074566507928420294,1,-1.2258476714090278,2,0,0,-0.10891791702847127,0,False,False,-0.03580390433705983,0.05128205128205128,4,39,0.5795956740450984,Medium Risk
2025,2.063883767202561,0,0.38887101359804876,2,0.7857278997960591,1,1,1,-0.36527578251440274,0,False,True,-0.021153963863445813,0.023255813953488372,4,86,0.15792371332226093,Low Risk
2025,-0.05720525355093678,1,0.48422460429935044,8,0.5973285944410414,2,1,0,0.8636502870218095,1,False,True,-0.028792079606272284,0.045454545454545456,5,352,0.8715698285984554,High Risk
2025,1.7741740472947665,1,1.0563461485071606,7,-1.2258476714090278,2,1,1,-1.5654872211931183,0,False,False,-0.03580390433705983,0.04,6,350,0.5470722617037851,Medium Risk
2025,-2.840487919807966,0,-0.9460792562201749,4,0.6180189508533646,4,1,0,0.33485372981012046,1,True,False,-0.026905602843132443,0.13793103448275862,9,116,0.9706228102345908,High Risk
2025,-1.5471409559338818,1,0.48422460429935044,4,1.0508202865849028,2,0,1,-0.4373288460949081,0,False,False,-0.01830657393395696,0.045454545454545456,5,176,0.9050205272485791,High Risk
2025,0.3463189991777775,1,-1.1367864376227783,2,0.9314633619936777,1,1,1,-0.49323048409247083,0,False,False,-0.018480770074845932,0.037037037037037035,4,54,0.042114042016116154,Low Risk
2025,-1.2677780117370796,1,-0.7553720748175714,6,0.409185402285092,2,0,0,-0.34619970089236274,0,False,False,-0.02405917243668902,0.06451612903225806,4,186,0.7533651948305619,High Risk
